,Job Title,Location,Applicant Count,Job Poster,Requirements,Job URL
10,Data Scientist,"Brisbane, Queensland, Australia",83,,"['Experience with scripting and programming languages (Python, SQL, R, or similar)', 'Knowledge of software development practices (CI/CD, version control)', 'Statistical knowledge', 'Some data engineering experience', 'Some practical experience in machine learning', 'Problem-solving skills with the ability to simplify and explain complex technical processes and results to a non-technical audience', 'Experience with handling spatial data and data formats (GIS) would be advantageous']",https://www.linkedin.com//jobs/view/3481997796/?alternateChannel=search&refId=i2ZmQex1TFRChsQeianC5Q%3D%3D&trackingId=DcfcpPOHfssxHQKAQXS7NQ%3D%3D&trk=d_flagship3_search_srp_jobs
11,Data Scientist,"Adelaide, South Australia, Australia",65,,"['Understanding business objectives and developing models that help to achieve them, along with metrics to track their progress', 'Managing available resources such as systems, data sources, and hardware so that deadlines are met', 'Analysing the ML algorithms that could be used to solve a given problem and ranking them by their success probability', 'Verifying data quality, and/or ensuring it via data cleaning', 'Defining ML model validation strategies', 'Defining the pre-processing or feature engineering to be done on a given dataset', 'Defining data augmentation pipelines', 'Training models and tuning their hyperparameters', 'Analysing the errors of the model and designing strategies to overcome them', 'Developing descriptive, predictive (classification, regression), prescriptive (optimisation, simulation) model using real time series, GIS, image, sound, video, and textual data', 'Documenting processes', 'Ability to select hardware to run high performing ML model with the required latency', 'Experience with Docker and Kubernetes, OpenShift, AWS Redshift', 'Programming languages like Python, Apache Spark, SQL and R;', 'Good knowledge of ML/deep learning frameworks such as scikit-learn, Keras, PyTorch, Tensorflow, etc.', 'High level of understanding of data governance, privacy, modelling a database design', 'Experience working with ML/Deep Learning models based on image data, GIS, text data and real time series data', 'Experience working with ETL tools such as SAP Bods, SAP SDI, AWS Kinesis, Glue and Data Pipeline', 'Master’s/PhD degree in Date Science, Computer Science or Software Engineering', 'Experience in using AWS, MS Azure or GCP services.', 'Good to have any associate Cloud Certification', 'Previous working experience with Historian data is a plus', 'Background in Engineering is highly desirable']",https://www.linkedin.com//jobs/view/3456598600/?alternateChannel=search&refId=i2ZmQex1TFRChsQeianC5Q%3D%3D&trackingId=WGCcbltNYILhAHcjfiwi0A%3D%3D&trk=d_flagship3_search_srp_jobs
12,"Expression of Interest - Data Scientist , Data & Analytics","Adelaide, South Australia, Australia",62,,"['As this is an expressions of interest position, please expect a delay in coming back to your application with us* This role is open to applicants across Adelaide, Melbourne, Perth, Brisbane, Canberra and Sydney.', 'Extract and manipulate data from a variety of sources and apply the appropriate pre-processing treatments for analysis.', 'Support the selection and configuration of analytical tools and infrastructure appropriate to our clients’ objectives, current and target state analytic maturity.', 'Design, develop and implement learning and/or optimisation solutions in areas that might include asset and inventory management, communications, channels and networks, risk and portfolio analysis, supply chain management and marketing effectiveness.', 'Design, develop and implement predictive models for areas such as customer segmentation, market basket analysis, offer propensity, demand planning & forecasting, fraud detection, inventory management and risk exposure.', 'Design, develop and implement approaches for productionising model scoring and the closed loop feedback paths required to support back-testing/test-and-learn model validation.', 'Apply visual analysis techniques and toolsets to extract patterns and meaning from data in a visual format.', 'Statistical analysis experience', 'Algorithm design, implementation and operationalisation experience', 'Development of statistical models, such as Bayesian, regression and linear optimisation models (ideally 5+ Years)', 'Development of machine learning models, including deep learning and graph applications (ideally 3+ Years)', 'Fluency in at least one of the following programming languages R, Python, Scala', 'Familiarity with the following data-related technologies Hadoop, Pig, Hive, Impala, SQL, Teradata, Oracle, SAS, MongoDB', 'High-level understanding of architecting cloud-based solutions with the following products AWS Redshift/RDS, S3, EC2, Lambda, EMR, SageMaker, DynamoDB, Cloudformation', 'Explore how a career at EY is yours to build at www.ey.com/au/careerdevelopment', 'Discover how, when and where you can work at www.ey.com/au/flexibility', 'Learn about our commitment to DE&I at www.ey.com/au/diversity-inclusiveness', 'Understand how our benefits can support you at www.ey.com/au/benefits']",https://www.linkedin.com//jobs/view/3407083461/?alternateChannel=search&refId=i2ZmQex1TFRChsQeianC5Q%3D%3D&trackingId=kjOd3MnU7RnASe1zPxNeJg%3D%3D&trk=d_flagship3_search_srp_jobs
13,Data Scientist,"Melbourne, Victoria, Australia",112,,"['Analysing large datasets of both structured and unstructured data to discover trends and patterns.', 'Building predictive models and machine-learning algorithms.', 'Deploying modelling solutions into operational practices ensuring compliance with AI framework', 'Creating user and training documentation for deployed solutions.', 'Working in a cross functional capacity to understand key business problems which need to be addressed and propose solutions.', 'Mentoring, educate and inspire others within the team and across the business around the value of data science methods and best practices.', 'Working collaboratively with broader Data Office teams to ensure robust, scalable and sustainable advanced analytics solutions are delivered that solve business problems', 'Proven experience in a Data Scientist role, applying Data Science Methods to solve real-world business problems within a commercial setting.', 'A degree in a highly quantitative field (Computer Science, Mathematics, Statistics etc)', 'Experience using data mining, statistical methods and machine-learning techniques.', 'Programming experience across one or more of R, Python and SQL software.', 'Ability to navigate complexity and ambiguity to provide pragmatic commercial solutions which meet stakeholder expectations.', 'Demonstrated ability to build effective relationships internally and externally with stakeholders, intermediaries and service providers.', 'Excellent verbal and written communication skills, capable of communicating with audiences at all levels with clarity, impact and influence.', 'Ability to plan and prioritise effectively, organise tasks and manage competing resources and demands.', 'Access to a range of discount in home, car insurance, health, gym and retailers', 'Work in a high performing team and be enabled to operate as the expert in your space', 'Feel safe, balanced and trusted in a culture that is all about helping you to live your best life', 'We are passionate about doing things differently, so feel confident to speak up and challenge status quo']",https://www.linkedin.com//jobs/view/3483778736/?alternateChannel=search&refId=i2ZmQex1TFRChsQeianC5Q%3D%3D&trackingId=Tqsh9gpTRZfr1vifZCfOVg%3D%3D&trk=d_flagship3_search_srp_jobs
14,Data Scientist,"Sydney, New South Wales, Australia",83,,"['Flexible working environment including WFH or remote from other states', 'Work with the latest and best data science technologies', ""Make a difference being part of Australia's most iconic national broadcaster"", 'Work with ML/DevOps engineers to train, optimise, and troubleshoot Machine Learning models applied to a range of content including text, audio and video.', 'Develop metrics, tools and systems to measure the impact of these models on audience engagement & related metrics across ABC digital products', 'Develop novel datasets for use across a range of ML use-cases from existing ABC data', 'Measure and improve performance of existing systems against technical and audience-engagement metrics.', 'Actively promote and drive the development of best practices and development standards.', 'Maintain a high level of awareness of best industry practices for ML development and convey this information to other development teams.', 'Take accountability for technical documentation, ensuring that all development work undertaken is properly documented and maintained.', 'Raise awareness among internal and external stakeholders about the ABC’s innovative data/ML-related strategies', 'Demonstrated delivery of highly advanced ML models from prototype to production in one or more domains, including Natural-Language Processing (NLP), Computer Vision (CV) and Reinforcement Learning (RL).', 'Well versed designing, developing, evaluating R&D initiatives, including new ML architectures, algorithms & services.', 'Extensive experience in data extraction, transformation, analysis, modelling and visualisation', 'Demonstrated substantial experience with modern ML frameworks such as Tensorflow/Keras, PyTorch and HuggingFace.', 'Substantial experience with data analysis libraries like PANDAS & scikit-learn.', 'Substantial knowledge and experience performance tuning/optimisation of ML models and AB testing.', 'Highly advanced programming skills (Python, SQL).', 'Experience and knowledge of AWS ML Services & Sagemaker.']",https://www.linkedin.com//jobs/view/3471667474/?alternateChannel=search&refId=i2ZmQex1TFRChsQeianC5Q%3D%3D&trackingId=ttSPabOWX%2F7CgOKBmEb%2FPg%3D%3D&trk=d_flagship3_search_srp_jobs
15,Climate Data Analyst,"Brisbane, Queensland, Australia",3,,"['Acquisition and interpretation of relevant global and downscaled data on extreme weather, climate variability, future climate projections and impacts on natural hazard occurrence and intensity', 'Processing and analysis of datasets for input into physical climate-related quantitative and qualitative risk assessments and multi-criteria assessments', 'Preparing, manipulating and interpreting spatial datasets illustrating exposure and vulnerability to climate and natural hazards', 'Developing numerical tools and scripts to quantify present and future multi-hazard and climate risks to various assets, land uses, communities and businesses', 'Microclimate simulations for urban heat', 'Evaluation and synthesis of climate scenarios and risks specific to given locations, sectors and/or communities', 'Contribute to the development of climate change adaptation recommendation', 'Developing and maintaining data analytics, storage and management systems', 'Tertiary qualification in a discipline relevant to climate risk or data analytics', 'Demonstrated knowledge and understanding of Climate Change and how it impacts communities and business.', 'Demonstrated knowledge of multi-hazard climate change risk assessment methods i.e., Python, R.', 'Strong verbal and written communication skills', 'Demonstrates initiative and takes a proactive approach to tasks.', 'Experience working within a multi-site organisation.', 'Experience working within the engineering, infrastructure, or resources sector.', 'Post-graduate qualifications in a discipline relevant to climate risk or data analytics', 'Experience working within the ports, resources, or renewable energy sectors.', 'Competitive salary offering', 'A performance-related bonus scheme based on personal, and company performance.', 'Access to a comprehensive Employee Assistance Programme (EAP), comprising confidential health, legal and financial advice on a 24/7 basis.', 'Learning and Development opportunities to support you in achieving your business and personal objectives and realising your full potential.', 'We are passionate about driving culture to embed sustainability into the core of our business.', 'We are a workplace that values diversity and individual talents.']",https://www.linkedin.com//jobs/view/3494145825/?alternateChannel=search&refId=i2ZmQex1TFRChsQeianC5Q%3D%3D&trackingId=C%2Fj2N0XpOZ8pEejCK%2FL3eg%3D%3D&trk=d_flagship3_search_srp_jobs
16,Data Scientist/ Manager - Multiple Locations,"Sydney, New South Wales, Australia",17,,"['5-7 years of demonstrated experience in data science or a related field', 'Designing and delivering data-driven solutions that embrace people, process, data and technology to realise the strategic outcome', 'A proven ability to create advanced analytical models that are fit for purpose and scalable, to identify insightful trends and patterns from the data', 'Good understanding of the ETL framework and ability to build efficient ETL dataflows using Microsoft SSIS or Python', 'Demonstrated experience with a range of languages / tools such as: SQL / Tableau / Power BI / VBA / Python / R / SAS / QlikView / Qlik Sense / SPSS', 'Experience in developing and deploying of Machine Learning and Deep Learning models and techniques is a plus', 'Demonstrated expertise in one or more of the following areas:', 'Data Mining & Management / Predictive Analytics / Machine Learning / Optimisation / Business Rules Engines / Geospatial Analysis / Risk Scoring & Identification']",https://www.linkedin.com//jobs/view/3483901573/?alternateChannel=search&refId=i2ZmQex1TFRChsQeianC5Q%3D%3D&trackingId=QeuTiN1iEmc66UxOpxsGZA%3D%3D&trk=d_flagship3_search_srp_jobs
17,Data Scientist,"Sydney, New South Wales, Australia",86,,"['Supporting the transformation effort through the development of working prototype tools, reporting, online dashboard and stress-testing stakeholder piolet groups', 'Identify and embed best practice for Executive Reporting and Analytics leveraging relationships with subject matter experts (SMEs) from other reporting teams to keep abreast of new reporting tools and software packages in use across the Group', 'Lead stakeholders in the “Journey” by running workshops, keeping them informed', 'Embedding analytics in the business through leading and/or contributing to the o reporting product design and build initiatives to ensure reporting services address well-defined business needs and deliver insights that support decision making relevant to stakeholders’ business imperatives', 'Applying a deep understanding of business operations to support data-driven problem definition, hypothesis testing, root cause analysis, and shortlisting of solution options', 'Utilising market and broader Group data points to identify correlations with Group Operations data points to enrich the value proposition of group reporting services', 'Stakeholder management and collaboration with the GO Customer Insights, Workforce Optimisation, and Portfolio & Planning teams', 'Extensive experience in consultative business analysis', 'Designing around user experience', 'Data modelling and predictive/prescriptive analytics', 'Advanced user of analytical tools in Microsoft Excel (pivot tables, macros, VBA, etc.)', 'Proficiency in one or more contemporary scripting language in Python and R', 'Tertiary education in Mathematics, Engineering or Computer Science', 'Data “supply chain”: source-of-truth identification, data extract-transform-load (ETL), data repository and staging, report and analytics generation', 'Data science experience in statistical analysis and quantitative hypothesis testing (desired)', 'Experience with designing and developing in Tableau, Alteryx, DataIku (desired)', 'Experience with building low-code apps in Microsoft PowerApps (desired)']",https://www.linkedin.com//jobs/view/3474484906/?alternateChannel=search&refId=i2ZmQex1TFRChsQeianC5Q%3D%3D&trackingId=heTpbt0Qeq5ETxw%2FPa12TQ%3D%3D&trk=d_flagship3_search_srp_jobs
18,Data Scientist/ Manager - Multiple Locations,"Melbourne, Victoria, Australia",25,,"['5-7 years of demonstrated experience in data science or a related field', 'Designing and delivering data-driven solutions that embrace people, process, data and technology to realise the strategic outcome', 'A proven ability to create advanced analytical models that are fit for purpose and scalable, to identify insightful trends and patterns from the data', 'Good understanding of the ETL framework and ability to build efficient ETL dataflows using Microsoft SSIS or Python', 'Demonstrated experience with a range of languages / tools such as: SQL / Tableau / Power BI / VBA / Python / R / SAS / QlikView / Qlik Sense / SPSS', 'Experience in developing and deploying of Machine Learning and Deep Learning models and techniques is a plus', 'Demonstrated expertise in one or more of the following areas:', 'Data Mining & Management / Predictive Analytics / Machine Learning / Optimisation / Business Rules Engines / Geospatial Analysis / Risk Scoring & Identification']",https://www.linkedin.com//jobs/view/3483907024/?alternateChannel=search&refId=i2ZmQex1TFRChsQeianC5Q%3D%3D&trackingId=lx1ryGDiDblzAf7cVrk7iw%3D%3D&trk=d_flagship3_search_srp_jobs
19,Data Scientist/ Manager - Multiple Locations,"Perth, Western Australia, Australia",12,,"['5-7 years of demonstrated experience in data science or a related field', 'Designing and delivering data-driven solutions that embrace people, process, data and technology to realise the strategic outcome', 'A proven ability to create advanced analytical models that are fit for purpose and scalable, to identify insightful trends and patterns from the data', 'Good understanding of the ETL framework and ability to build efficient ETL dataflows using Microsoft SSIS or Python', 'Demonstrated experience with a range of languages / tools such as: SQL / Tableau / Power BI / VBA / Python / R / SAS / QlikView / Qlik Sense / SPSS', 'Experience in developing and deploying of Machine Learning and Deep Learning models and techniques is a plus', 'Demonstrated expertise in one or more of the following areas:', 'Data Mining & Management / Predictive Analytics / Machine Learning / Optimisation / Business Rules Engines / Geospatial Analysis / Risk Scoring & Identification']",https://www.linkedin.com//jobs/view/3483906227/?alternateChannel=search&refId=i2ZmQex1TFRChsQeianC5Q%3D%3D&trackingId=IZxaKAKzaByEl6WD1hmn6Q%3D%3D&trk=d_flagship3_search_srp_jobs
20,Data Scientist,"Perth, Western Australia, Australia",171,,[],https://www.linkedin.com//jobs/view/3471529771/?alternateChannel=search&refId=i2ZmQex1TFRChsQeianC5Q%3D%3D&trackingId=OrdexgEImbfSB3MddoRyhg%3D%3D&trk=d_flagship3_search_srp_jobs
21,Data Scientist,"Canberra, Australian Capital Territory, Australia",35,,"['Fast growing dynamic financial and technology consulting firm. |Contact Jude Wolfe Southall - judewolfesouthall@michaelpage.com.au', ""1 - 2 years' experience minimum."", 'SAS experience preferred', 'Python, R, C#, Redhat, Azure or Linux experience highly desirable.', 'Technology One or SAP Hana highly desirable.', 'Great personality', 'Excellent written and verbal communication skills', 'Relevant skills, experience and qualifications', 'Permanent Opportunity', 'Immediate Start', 'Flexible work arrangements', 'Canberra based role', 'Ability to obtain a minimum baseline clearance.']",https://www.linkedin.com//jobs/view/3454647934/?alternateChannel=search&refId=i2ZmQex1TFRChsQeianC5Q%3D%3D&trackingId=BDPDjOirFMuPaBR2OplDMw%3D%3D&trk=d_flagship3_search_srp_jobs
22,Data Scientist,"Melbourne, Victoria, Australia",,Tony Hau,"['Work with leading Machine Learning and AI technology', 'Newly formed data team', 'Permanent role with competitive salary and great benefits on offer', 'Highlighting potential technology process and system changes to obtain and process data', 'Manage and interact with multiple stakeholders', 'Provide input from a data perspective into the profiling, sequencing, and prioritisation of cohorts of customers for remediation', 'Developing and maintaining important documentation that describes the approaches taken', 'Communicating technical details to key stakeholders', 'Degree in quantitative discipline (e.g. Mathematics, Statistics and computer Science)', 'Demonstrated working experience as a Data Scientist', 'Strong experience working with AWS (S3/Redshift/Snowflake)', 'Hands on experience with data wrangling and machine learning using SQL Spark, Python/R on structured and unstructured data.', 'Strong stakeholders and communication skills.', 'Be an Australian citizen or Permanent Resident', 'Hybrid work arrangements', 'Competitive salary $155k Inc super', 'Excellent work culture']",https://www.linkedin.com//jobs/view/3454195833/?alternateChannel=search&refId=i2ZmQex1TFRChsQeianC5Q%3D%3D&trackingId=DC9eea2xKaHVaLgGdI7DPg%3D%3D&trk=d_flagship3_search_srp_jobs
23,Data Scientist – Wal-yan Respiratory Research Centre,"Perth, Western Australia, Australia",30,,"['Formulating techniques for quality data collection and integration to ensure adequacy, accuracy, usability and legitimacy of data.', 'Managing the integration of data from a variety of sources, including sub-projects, into a central repository and ensure data is appropriately cleaned, validated, organised, audited and secure.', 'Preparing import/analysis code for statistical analytical software.', 'Providing technical support and advice to the team and other researchers on data collection, analysis and reporting.', 'Experience in working with large, complex public health datasets', 'Demonstrated knowledge of data management including an appreciation of working with highly confidential data', 'Experience in using R statistical software', 'Self-management and high level of personal motivation', 'Excellent organisational skills and attention to detail']",https://www.linkedin.com//jobs/view/3483251368/?alternateChannel=search&refId=i2ZmQex1TFRChsQeianC5Q%3D%3D&trackingId=6Q0FotEwwtJrnmn3yAYWFw%3D%3D&trk=d_flagship3_search_srp_jobs
